"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SelfRegistration","0","otp integration","1","0","POST /api/users/{userUuid}/otp/{featureType}/validate — not found","0"
"0","Assignments","0","Assignment Filters","12","0","","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/remote — unauthorized","0"
"0","SelfRegistration","1","otp integration","0","0","POST /api/users/{userUuid}/otp/{featureType}/verify-email","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/{registrationUuid}/save-user — unauthorized","0"
"0","SelfRegistration","0","public","1","0","GET /api/public/build_version","0"
"0","SelfRegistration","1","registration","0","0","POST /api/registrations/{registrationUuid}/otp/{code}/validate","0"
"0","SelfRegistration","1","uts-audit","0","0","POST /api/audit-mesgs/ack/id/{audit_id}/seq/{seq}","0"
"0","SelfRegistration","0","organizations","1","0","POST /api/organizations/{organizationUuid}/config — not found","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/all — unauthorized","0"
"0","SelfRegistration","1","organizations","0","0","GET /api/organizations/{organizationUuid}/config — not found","0"
"0","","0","","1","9","","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/auth/basic — unauthorized","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/{registrationUuid}/otp/resend — unauthorized","0"
"0","SelfRegistration","0","uts-audit","1","0","GET /api/audit-mesgs","0"
"0","SelfRegistration","0","Site Shutdown","1","0","POST /api/v2/site-shutdown/sync/shutdown — unauthorized","0"
"0","SelfRegistration","1","registration","0","0","POST /api/registrations/{registrationUuid}/otp/{code}/validate — not found","0"
"0","SelfRegistration","0","registration","1","0","PUT /api/registrations/approve-pending-registered-users — unauthorized","0"
"0","UCM Admin","0","Page Builder","2","0","SC-05: Action menu validation","0"
"0","SelfRegistration","1","registration","0","0","POST /api/registrations","0"
"0","SelfRegistration","1","registration","0","0","PUT /api/registrations/approve-registered-user-with-update","0"
"0","SelfRegistration","0","registration","1","0","PUT /api/registrations/bulk-update-custom-attribute-values","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/remote","0"
"0","SelfRegistration","0","registration","1","0","GET /api/registrations/{registrationUuid}/fetch-user-status — not found","0"
"0","UCM Admin","0","Page Builder","1","0","SC-03: Audience association","0"
"0","SelfRegistration","0","registration","1","0","PUT /api/registrations/reject-pending-registration-users","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/local — unauthorized","0"
"0","UCM Admin","0","Page Builder","1","0","SC-02: Multi-level page creation","0"
"0","UCM Admin","0","Page Builder","1","0","SC-01: Design tab component coverage","0"
"0","SelfRegistration","0","public","1","0","GET /api/public/build_version — unauthorized","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/{registrationUuid}/send-otp-email — unauthorized","0"
"0","SelfRegistration","1","Site Shutdown","0","0","POST /api/v2/site-shutdown/sync/shutdown","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/{registrationUuid}/send-otp-email — not found","0"
"0","UCM Admin","0","Page Builder","3","0","SC-06: Columns picker validation","0"
"0","UCM Admin","0","Page Builder","2","0","SC-07: Drag-and-drop validation","0"
"0","SelfRegistration","1","registration","0","0","GET /api/registrations/{registrationUuid}/fetch-user-status","0"
"0","SelfRegistration","0","registration","1","0","GET /api/registrations/{registrationUuid}/fetch-user-status — unauthorized","0"
"0","SelfRegistration","0","registration","1","0","PUT /api/registrations/approve-registered-user-with-update — unauthorized","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/{registrationUuid}/otp/resend — not found","0"
"0","SelfRegistration","0","organizations","1","0","POST /api/organizations/{organizationUuid}/config","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/{registrationUuid}/otp/{code}/validate — unauthorized","0"
"0","SelfRegistration","0","otp integration","1","0","POST /api/users/{userUuid}/otp/{featureType}/generate — unauthorized","0"
"0","SelfRegistration","1","ApiRegistrations flow","0","0","ApiRegistrations / Step 1: POST /api/registrations","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/local","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/fetch-registered-users-for-approval — unauthorized","0"
"0","SelfRegistration","0","organizations","1","0","Delete custom attribute for an organization. — unauthorized","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/fetch-registered-users-for-approval","0"
"0","SelfRegistration","0","organizations","1","0","POST /api/organizations/{organizationUuid}/config — unauthorized","0"
"0","SelfRegistration","0","uts-audit","1","0","POST /api/audit-mesgs/ack/id/{audit_id}/seq/{seq} — unauthorized","0"
"0","SelfRegistration","0","organizations","1","0","GET /api/organizations/{organizationUuid}/config","0"
"0","SelfRegistration","0","organizations","1","0","GET /api/organizations/{organizationUuid}/config — unauthorized","0"
"0","SelfRegistration","1","registration","0","0","POST /api/registrations/{registrationUuid}/save-user","0"
"0","SelfRegistration","0","otp integration","1","0","POST /api/users/{userUuid}/otp/{featureType}/validate — unauthorized","0"
"0","SelfRegistration","0","organizations","1","0","Delete custom attribute for an organization. — not found","0"
"0","SelfRegistration","0","public","1","0","GET /api/public/health/v1/ping","0"
"0","SelfRegistration","0","public","1","0","GET /api/public/health/v1/ping — unauthorized","0"
"0","SelfRegistration","1","otp integration","0","0","POST /api/users/{userUuid}/otp/{featureType}/generate","0"
"0","SelfRegistration","0","otp integration","1","0","POST /api/users/{userUuid}/otp/{featureType}/verify-email — not found","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/all","0"
"0","SelfRegistration","1","registration","0","0","POST /api/registrations/{registrationUuid}/otp/resend","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations/{registrationUuid}/save-user — not found","0"
"0","SelfRegistration","0","registration","1","0","POST /api/registrations — unauthorized","0"
"0","SelfRegistration","1","registration","0","0","POST /api/registrations/{registrationUuid}/send-otp-email","0"
"0","SelfRegistration","0","registration","1","0","PUT /api/registrations/bulk-update-custom-attribute-values — unauthorized","0"
"0","SelfRegistration","0","registration","1","0","PUT /api/registrations/approve-pending-registered-users","0"
"0","SelfRegistration","0","uts-audit","1","0","GET /api/audit-mesgs — unauthorized","0"
"0","SelfRegistration","0","otp integration","1","0","POST /api/users/{userUuid}/otp/{featureType}/verify-email — unauthorized","0"
"0","SelfRegistration","0","uts-audit","1","0","POST /api/audit-mesgs/ack/id/{audit_id}/seq/{seq} — not found","0"
"0","SelfRegistration","0","registration","1","0","PUT /api/registrations/reject-pending-registration-users — unauthorized","0"
"0","SelfRegistration","1","organizations","0","0","Delete custom attribute for an organization.","0"
"0","SelfRegistration","0","otp integration","1","0","POST /api/users/{userUuid}/otp/{featureType}/generate — not found","0"
"0","SelfRegistration","0","sshealth","1","0","GET /api/health/v1/auth/basic","0"
"0","SelfRegistration","1","otp integration","0","0","POST /api/users/{userUuid}/otp/{featureType}/validate","0"
