"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","745","ValidateOTP — 404 not found","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — otp integration","selfRegistration.spec.ts","",""
"","19394","SF — Apply ""Scheduled"" filter → list updates","chrome","2026-05-25","passed","2026-05-25","Status filter — checkbox","tests/Assignments/assignmentFilters.spec.ts","",""
"","239","RemoteHealth — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — sshealth","selfRegistration.spec.ts","",""
"","247","VerifyEmail — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — otp integration","selfRegistration.spec.ts","",""
"","794","SaveUser — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","939","GetBuildVersion — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — public","selfRegistration.spec.ts","",""
"","4","ValidateOtp — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","19944","SF — Apply ""Draft"" filter → list updates","chrome","2026-05-25","passed","2026-05-25","Status filter — checkbox","tests/Assignments/assignmentFilters.spec.ts","",""
"","242","DeleteEntries — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — uts-audit","selfRegistration.spec.ts","",""
"","232","Upsert — 404 not found","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","228","LocalAndRemoteHealth — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — sshealth","selfRegistration.spec.ts","",""
"","253","Fetch — 404 not found","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","5","Step 9: VerifyEmail — POST /api/users/{userUuid}/otp/EMAIL_CHANGE/verify-email","chrome","2026-05-27","skipped","2026-05-27","SelfRegistration — ApiRegistrations flow","flows/selfRegistration.flow.apiRegistrations.spec.ts","",""
"","5","Step 8: ValidateOTP — POST /api/users/{userUuid}/otp/EMAIL_CHANGE/validate","chrome","2026-05-27","skipped","2026-05-27","SelfRegistration — ApiRegistrations flow","flows/selfRegistration.flow.apiRegistrations.spec.ts","",""
"","235","BasicAuthHealth — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — sshealth","selfRegistration.spec.ts","",""
"","750","ResendOtp — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","237","FetchEntries — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — uts-audit","selfRegistration.spec.ts","",""
"","772","ShutdownSelfRegistration — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — Site Shutdown","selfRegistration.spec.ts","",""
"","31","ValidateOtp — 404 not found","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","20255","SF — Apply ""Archived"" filter → list updates","chrome","2026-05-25","passed","2026-05-25","Status filter — checkbox","tests/Assignments/assignmentFilters.spec.ts","",""
"","232","ApprovePendingRegisteredUsers — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","13051","PB-05b: Verify all 3 editor page-level actions in the Pages tab","chrome","2026-05-27","passed","2026-05-27","SC-05: Page Builder — Action menu validation","tests/PageBuilder/pageBuilderActionMenus.spec.ts","",""
"","21343","CB-01 — Apply 'Draft' filter + search known title → intersection shown","chrome","2026-05-25","passed","2026-05-25","Combined filters","tests/Assignments/assignmentFilters.spec.ts","",""
"","1465","Insert — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","275","ApproveRegisteredUserWithUpdateRequest — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","288","BulkUpdateCustomAttributeValues — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","2975","RemoteHealth — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — sshealth","selfRegistration.spec.ts","",""
"","272","FetchUserStatus — 404 not found","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","15660","PB-03: Associate the 'All Users' audience with a Page Builder page via the Publish wizard Step 3","chrome","2026-05-27","passed","2026-05-27","SC-03: Page Builder — Audience association via Publish wizard","tests/PageBuilder/pageBuilderAudienceAssociation.spec.ts","",""
"","281","RejectUserRegistration — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","237","LocalHealth — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — sshealth","selfRegistration.spec.ts","",""
"","23023","SF — Apply ""Failed"" filter → list updates","chrome","2026-05-25","passed","2026-05-25","Status filter — checkbox","tests/Assignments/assignmentFilters.spec.ts","",""
"","16888","PB-02: Create a parent page with a child subpage and verify the hierarchy in the Pages tree","chrome","2026-05-27","passed","2026-05-27","SC-02: Page Builder — Multi-level page creation","tests/PageBuilder/pageBuilderMultiLevel.spec.ts","",""
"","40454","PB-01: Add all 14 Design tab components to a new page and verify each appears on canvas","chrome","2026-05-27","passed","2026-05-27","SC-01: Page Builder — Design tab component coverage","tests/PageBuilder/pageBuilderComponents.spec.ts","",""
"","276","GetBuildVersion — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — public","selfRegistration.spec.ts","",""
"","798","SendOtpEmail — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","263","ShutdownSelfRegistration — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — Site Shutdown","selfRegistration.spec.ts","",""
"","317","SendOtpEmail — 404 not found","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","10095","PB-06a: All default column visibility toggles are present in the Columns picker","chrome","2026-05-27","passed","2026-05-27","SC-06: Page Builder — Columns picker validation","tests/PageBuilder/pageBuilderColumns.spec.ts","",""
"","42323","PB-07a: Drag all 14 Design tab components from palette to canvas — verify each is placed","chrome","2026-05-27","passed","2026-05-27","SC-07: Page Builder — Drag-and-drop component validation","tests/PageBuilder/pageBuilderDragDrop.spec.ts","",""
"","238","FetchUserStatus — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","10857","PB-06b: Hide and re-show a single column — Status column visibility toggle","chrome","2026-05-27","passed","2026-05-27","SC-06: Page Builder — Columns picker validation","tests/PageBuilder/pageBuilderColumns.spec.ts","",""
"","793","FetchUserStatus — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","21366","SR-02 — Search non-matching term → empty state shown","chrome","2026-05-25","passed","2026-05-25","Search by name filter","tests/Assignments/assignmentFilters.spec.ts","",""
"","732","ApproveRegisteredUserWithUpdateRequest — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","252","ResendOtp — 404 not found","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","21724","PB-07b: Reorder two canvas components — verify DOM position changes after drag","chrome","2026-05-27","passed","2026-05-27","SC-07: Page Builder — Drag-and-drop component validation","tests/PageBuilder/pageBuilderDragDrop.spec.ts","",""
"","744","Upsert — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","698","ValidateOtp — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","750","GenerateOtp — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — otp integration","selfRegistration.spec.ts","",""
"","1425","Step 1: Insert — POST /api/registrations","chrome","2026-05-27","failed","2026-05-27","SelfRegistration — ApiRegistrations flow","flows/selfRegistration.flow.apiRegistrations.spec.ts","",""
"","814","LocalHealth — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — sshealth","selfRegistration.spec.ts","",""
"","234","FetchRegisteredUsersforapproval — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","22620","SR-01 — Search known term → only matching titles shown","chrome","2026-05-25","passed","2026-05-25","Search by name filter","tests/Assignments/assignmentFilters.spec.ts","",""
"","833","DeleteCustomAttribute — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","19665","SF — Apply ""Canceled"" filter → list updates","chrome","2026-05-25","passed","2026-05-25","Status filter — checkbox","tests/Assignments/assignmentFilters.spec.ts","",""
"","20047","SF — Apply ""In Progress"" filter → list updates","chrome","2026-05-25","passed","2026-05-25","Status filter — checkbox","tests/Assignments/assignmentFilters.spec.ts","",""
"","234","FetchRegisteredUsersforapproval — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","268","Upsert — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","16656","PB-05a: Verify all 5 row-level actions on the Page Builder list page","chrome","2026-05-27","passed","2026-05-27","SC-05: Page Builder — Action menu validation","tests/PageBuilder/pageBuilderActionMenus.spec.ts","",""
"","801","DeleteEntries — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — uts-audit","selfRegistration.spec.ts","",""
"","242","Fetch — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","259","Fetch — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","715","SaveUser — 200 happy path","chrome","2026-05-26","failed","2026-05-26","SelfRegistration — registration","selfRegistration.spec.ts","",""
"","800","ValidateOTP — 401 unauthorized","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — otp integration","selfRegistration.spec.ts","",""
"","5","Step 7: GenerateOtp — POST /api/users/{userUuid}/otp/EMAIL_CHANGE/generate","chrome","2026-05-27","skipped","2026-05-27","SelfRegistration — ApiRegistrations flow","flows/selfRegistration.flow.apiRegistrations.spec.ts","",""
"","3","Step 4: FetchUserStatus — GET /api/registrations/{registrationUuid}/fetch-user-status","chrome","2026-05-27","skipped","2026-05-27","SelfRegistration — ApiRegistrations flow","flows/selfRegistration.flow.apiRegistrations.spec.ts","",""
"","18073","authenticate","setup","2026-05-27","passed","2026-05-27","","tests/auth/auth.setup.ts","",""
"","246","DeleteCustomAttribute — 404 not found","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — organizations","selfRegistration.spec.ts","",""
"","232","Ping — 200 happy path","chrome","2026-05-26","passed","2026-05-26","SelfRegistration — public","selfRegistration.spec.ts","",""
"","11916","PB-06c: 'Toggle All Columns Visibility' hides and shows all columns at once","chrome","2026-05-27","passed","2026-05-27","SC-06: Page Builder — Columns picker validation","tests/PageBuilder/pageBuilderColumns.spec.ts","",""
